Sentiment	SentimentID	date	SentimentText
4	1467822273	Mon Apr 06 22:22:45 PDT 2009	im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!
4	1467822283	Mon Apr 06 22:22:46 PDT 2009	"@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. "
4	1467822287	Mon Apr 06 22:22:46 PDT 2009	"Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup"
4	1467822293	Mon Apr 06 22:22:46 PDT 2009	@LovesBrooklyn2 he has that effect on everyone 
4	1467822391	Mon Apr 06 22:22:47 PDT 2009	@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!
4	1467822447	Mon Apr 06 22:22:51 PDT 2009	@r_keith_hill Thans for your response. Ihad already find this answer 
4	1467822465	Mon Apr 06 22:22:48 PDT 2009	"@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!! "
4	1467822489	Mon Apr 06 22:22:49 PDT 2009	"@tommcfly ah, congrats mr fletcher for finally joining twitter "
4	1467822496	Mon Apr 06 22:22:49 PDT 2009	@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors 
4	1467822530	Mon Apr 06 22:22:49 PDT 2009	crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! 
4	1467822531	Mon Apr 06 22:22:49 PDT 2009	@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!! 
4	1467822635	Mon Apr 06 22:22:51 PDT 2009	"@nileyjileyluver Haha, don't worry! You'll get the hang of it! "
4	1467822729	Mon Apr 06 22:22:52 PDT 2009	"@soundwav2010 At least I won't be the only one feeling lost! This may cause me many later than usual nights, already addicting "
4	1467822796	Mon Apr 06 22:22:53 PDT 2009	@LutheranLucciol Make sure you DM me if you post a link to that video! &lt;LOL&gt;So I don't miss it   Better get permission and blessing first?
4	1467822814	Mon Apr 06 22:22:54 PDT 2009	Just added tweetie to my new iPhone 
4	1467822899	Mon Apr 06 22:22:58 PDT 2009	@michellardi i really don't know. i think its Globe!  yeah! sana gumaling na ko para alam ko na din kung makakasama ako! )
4	1467822924	Mon Apr 06 22:22:55 PDT 2009	@nicolerichie: your picture is very sweet 
4	1467822936	Mon Apr 06 22:22:57 PDT 2009	"Catching Up on Emails, RSS and Random BACN. Then I'm cutting out early tonight (11:30PM) to have Dinner with @lauraw "
4	1467822964	Mon Apr 06 22:22:56 PDT 2009	"Dancing around the room in Pjs, jamming to my ipod. Getting dizzy. Well twitter, you asked! "
4	1467822994	Mon Apr 06 22:22:56 PDT 2009	Didn't place in the Peeps contest but thanks for voting anyways. 
4	1467823016	Mon Apr 06 22:22:57 PDT 2009	Going to bed so goodnight everyone  and sweet dreams  http://twitpic.com/2y2e0
4	1467823046	Mon Apr 06 22:22:57 PDT 2009	@LittleLumen walking over to put the deposit down tomorrow 
4	1467823079	Mon Apr 06 22:22:58 PDT 2009	"is now followinq @DAChesterFrench , you shud do tha same "
4	1467823109	Mon Apr 06 22:22:58 PDT 2009	@LordPov Are you meant to add on the back of that &quot;twittering from a toilet cubicle somewhere&quot;? 
4	1467823132	Mon Apr 06 22:22:58 PDT 2009	Aw i'm holding my new puppy. Well He's not mine but He's a cutie. 
4	1467823216	Mon Apr 06 22:23:00 PDT 2009	@iJohn kitteh is sleepin on my crotch which proves she likes me more 
4	1467823363	Mon Apr 06 22:23:02 PDT 2009	@DramaBeats agreed 
4	1467823405	Mon Apr 06 22:23:03 PDT 2009	reaching amritsar in an hour and (if i find a bus) should be at wagah border by 2pm  - http://bkite.com/06fuJ
4	1467823594	Mon Apr 06 22:23:05 PDT 2009	@ALBinLA.  I was just thinking about you tonight!  You have to let me be the first to interview you're a famous super star 
4	1467823618	Mon Apr 06 22:23:06 PDT 2009	happy to spend time with the family. 
4	1467823631	Mon Apr 06 22:23:06 PDT 2009	finally going to bed!  so tired. Was gonna watch The Hills but didnt =/
4	1467823643	Mon Apr 06 22:23:06 PDT 2009	so effing tired of my throat hurting.... ooooohh... i just got a crazy craving for a pina colada/banana slushie!!!! 
4	1467823719	Mon Apr 06 22:23:07 PDT 2009	@deon upload di indowebster dong banggggg 
4	1467823824	Mon Apr 06 22:23:09 PDT 2009	@wisdomous you're welcome. glad you enjoyed it. 
4	1467823826	Mon Apr 06 22:23:09 PDT 2009	@hawaii808shellz hAhAHA!! omG! we wer bOth laughiN off d hOOk!  cuz das hOW we roLLL...ryt sheLdawg?
4	1467823876	Mon Apr 06 22:23:12 PDT 2009	@SickWithThePen awww pookie feel better. I'll pray for you...and BAG the nurse up 
